bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
STUDIOVEGTER,studiovegter.com,geraden en bevestigd,Wholesale Operations &amp; Customer Support Coördinator,2026-07-05,Utrecht Area,2,nee,https://nl.linkedin.com/jobs/view/wholesale-operations-customer-support-co%C3%B6rdinator-at-studiovegter-4436991174,e-commerce medewerker,ok,,,,,,,,0,,,3511 HC,,,ja
Suitsupply,suitsupply.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-suitsupply-4326536412,klantenservice medewerker,ok,shopify,,,whatsapp,,ja,,4,,,1079 MZ,0800 020 6227,,ja
SumUp,sumup.com,geraden en bevestigd,Customer Support Agent,2026-09-02,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-agent-at-sumup-4421965211,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
Sunny Cars,sunnycars.nl,geraden en bevestigd,Customer Service Expert (24-40 uur),2026-09-09,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/customer-service-expert-24-40-uur-at-sunny-cars-4465026977,klantenservice medewerker,ok,,,10,,,,,0,,,,0235699696,,
Sunware,sunware.com,geraden en bevestigd,Marketplace Specialist (32 - 40 uur),2026-09-14,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/marketplace-specialist-32-40-uur-at-sunware-4467048859,e-commerce medewerker,ok,,,5,,trustpilot,ja,,2,,18021519,5047 TR,0031135780633,,
Swiss Sense,swisssense.nl,geraden en bevestigd,Web Analist Digital Commerce,2026-09-14,Uden,1,nee,https://nl.linkedin.com/jobs/view/web-analist-digital-commerce-at-swiss-sense-4467094489,webcare medewerker,ok,,,,,trustpilot,,,2,,,,0850687777,,
Tangent,tangent.com,geraden en bevestigd,Entry level Customer Success Manager (€30-€60k salary + commission),2026-09-04,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/entry-level-customer-success-manager-%E2%82%AC30-%E2%82%AC60k-salary-%2B-commission-at-tangent-4463361874,customer happiness,ok,,,,tawk,,,,1,,,,+18003429388,,ja
Tarkett,tarkett.nl,geraden en bevestigd,Customer Service Representative,2026-06-26,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-tarkett-4431709604,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
team.blue,domaincontactservice.com,geraden en bevestigd,Agent - Customer Support,2026-09-18,Leiden,1,nee,https://nl.linkedin.com/jobs/view/agent-customer-support-at-team-blue-4469171885,customer service,ok,,,,,,,,0,,,,,,ja
Tech Rise,techrise.nl,geraden en bevestigd,Head of Customer Success,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/head-of-customer-success-at-tech-rise-4456583876,customer happiness,ok,,,,,,,,0,api[- ]documen,,1081 LH,+31203629917,,
Tegeltje.nl,tegeltje.nl,geraden en bevestigd,Sales medewerker B2B (24-40 uur),2026-09-18,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/sales-medewerker-b2b-24-40-uur-at-tegeltje-nl-4469197217,e-commerce medewerker,ok,woocommerce,,,helpscout,,ja,ja,2,,58276270,2411 PV,,,
Tellent,tellent.com,geraden en bevestigd,Digital Customer Success Manager - Benelux,2026-09-21,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/digital-customer-success-manager-benelux-at-tellent-4467383612,customer happiness,ok,,,4,hubspot,,,,0,demo aanvragen,,1016 EE,,,ja
Temu,sites.google.com,geraden en bevestigd,Business Development Manager,2026-09-06,Nederland,2,nee,https://nl.linkedin.com/jobs/view/business-development-manager-at-temu-4462685492,e-commerce medewerker,ok,,,,,,,,0,,,,,,
Termeer Groep,mooiedomeinnaam.nl,geraden en bevestigd,Webshopmedewerker (maandag),2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/webshopmedewerker-maandag-at-termeer-groep-4371879320,webcare medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,,
The Dare Company,thedarecompany.com,geraden en bevestigd,Vacature Front end developer,2026-07-10,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/vacature-front-end-developer-at-the-dare-company-4449069211,webcare medewerker,ok,,,3,whatsapp,,,,0,,,3011 TX,+31105223332,,
The Photo Company,thephotocompany.com,geraden en bevestigd,Winkelmedewerker (8-38 uur),2026-09-13,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/winkelmedewerker-8-38-uur-at-the-photo-company-4466771175,webshop medewerker,ok,,,,,,,,0,,,,,,
Tibber,tibber.com:443,geraden en bevestigd,Customer Support Specialist,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-tibber-4414816920,klantenservice medewerker,ok,,,,intercom,,,,0,api[- ]documen,80004245,1015 CJ,,,ja
TOPdesk,topdesk.com,geraden en bevestigd,Customer Succes Manager (NL),2026-09-14,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-manager-nl-at-topdesk-4465762335,customer happiness,ok,,,6,hubspot,,,,0,onze dienstver,,,,,ja
Toppy,toppy.nl,geraden en bevestigd,E-commerce meewerkstage,2026-04-07,Veghel,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-meewerkstage-at-toppy-4398365727,webshop medewerker,ok,,,,whatsapp,kiyoh,,,3,veiling,86877127,5465 PR,0031413420319,,
Treatwell,treatwell.nl,geraden en bevestigd,Customer Success Manager NL,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-nl-at-treatwell-4469133608,webcare medewerker,ok,,,,chatgpt-bot,trustpilot,,,0,,,1017 HG,,,ja
Trend People,trend.nl,geraden en bevestigd,Commercieel administratief medewerker,2026-09-09,Oudewater,1,nee,https://nl.linkedin.com/jobs/view/commercieel-administratief-medewerker-at-trend-people-4439906546,orderverwerking medewerker,ok,,,,,,,,0,,,1315 RC,0031348422116,,
Triodos Bank,triodos.nl,geraden en bevestigd,Head of Customer Services TBNL,2026-09-02,Driebergen-Rijsenburg,1,nee,https://nl.linkedin.com/jobs/view/head-of-customer-services-tbnl-at-triodos-bank-4462440160,customer happiness,ok,,,,,,,,0,veiling,,,,,
Troostwijk Auctions,troostwijkauctions.com,geraden en bevestigd,Klantenservice medewerker,2026-09-02,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-troostwijk-auctions-4457342326,klantenservice medewerker,ok,,,,zendesk,trustpilot,,,1,veiling,,1062 XD,,,ja
Trusted Shops,trustedshops.nl,geraden en bevestigd,Customer Success Manager Benelux (f/m/d),2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-f-m-d-at-trusted-shops-4461893682,customer happiness,ok,,,12,hubspot,trustedshops,ja,,1,,,,,,ja
Trustoo.nl,trustoo.nl,geraden en bevestigd,Customer Success Manager,2026-09-03,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-trustoo-nl-4460735308,customer happiness,ok,,,,,trustpilot|klantenvertellen,,,0,onze dienstver,,,,,ja
TSC Life,tsc-life.com,geraden en bevestigd,Customer Service Agent,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-at-tsc-life-4469160348,orderverwerking medewerker,ok,,,3,hubspot,,,,0,,,1105 AG,+31(0)334507250,,ja
Twentyseven,hoteltwentyseven.com,geraden en bevestigd,Open sollicitatie - Twentyseven,2024-11-26,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-twentyseven-at-twentyseven-4085642446,webcare medewerker,ok,,,12,whatsapp,,,,0,api[- ]documen,,1012 JS,+31202182180,,
Ultimesh,ultimesh.nl,geraden en bevestigd,E-commerce Medewerker,2026-09-11,Hellevoetsluis,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-at-ultimesh-4466068170,webcare medewerker,ok,,,,whatsapp,,,ja,1,,,3225 MA,+31181411802,,
UMC Utrecht,umcutrecht.nl,geraden en bevestigd,Medewerker schoonmaak &amp; services,2026-04-14,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-schoonmaak-services-at-umc-utrecht-4392436330,webcare medewerker,ok,,,3,,,,,0,,,3584 CX,088 75 555 55,,ja
Under Armour,underarmour.nl,geraden en bevestigd,"Sr. Professional, Digital Marketplace Sales",2026-09-03,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sr-professional-digital-marketplace-sales-at-under-armour-4453152174,e-commerce medewerker,ok,,,,,,,,2,,,,,,
United Petfood,unitedpetfood.eu,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-08-14,Waalwijk,2,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-united-petfood-4454526510,orderverwerking medewerker,ok,,,,,,,,0,,,2421 LL,+31 524 593 100,,
Vakgarage,vakgarage.nl,geraden en bevestigd,Service Adviseur in Mijdrecht,2026-07-10,Mijdrecht,1,nee,https://nl.linkedin.com/jobs/view/service-adviseur-in-mijdrecht-at-vakgarage-4438893621,klantadviseur,ok,,,,,klantenvertellen,,,0,,,,,,ja
Valicare,valicare.nl,geraden en bevestigd,PHP Developer,2026-08-01,Den Haag,2,nee,https://nl.linkedin.com/jobs/view/php-developer-at-valicare-4445558465,webcare medewerker,ok,,,3,,,,,0,api[- ]documen,,,,,
Valk Design,valkdesign.nl,geraden en bevestigd,Customer Service &amp; Operations Medewerker | Valk at Home,2026-09-08,Eemnes,1,nee,https://nl.linkedin.com/jobs/view/customer-service-operations-medewerker-valk-at-home-at-valk-design-4464472421,orderverwerking medewerker,ok,,,,,,,,2,api[- ]documen,,3754 ND,0031332990314,,ja
VAMAT,vamat.nl,geraden en bevestigd,Medewerker Customer Service,2026-09-08,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-vamat-4464449514,klantenservice medewerker,ok,,,4,,,,ja,0,api[- ]documen,,3526 KV,,,ja
Van den Bosch,vandenbosch.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-03,Erp,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-van-den-bosch-4462788081,klantenservice medewerker,ok,woocommerce,,20,,,ja,ja,0,,,4191 MS,+31 345 581490,,ja
Van der Heide,vanderheide.nl,geraden en bevestigd,Accountmanager binnendienst,2026-06-07,Drachten,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-binnendienst-at-van-der-heide-4436317544,klantadviseur,ok,,,,,,,,0,,,1629HW,+31886363163,,
Van der Hoeven Kliniek,hoevenkliniek.nl,geraden en bevestigd,Medewerker beveiliging en receptie,2026-09-16,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-beveiliging-en-receptie-at-van-der-hoeven-kliniek-4459146998,webcare medewerker,ok,,,,,,,,0,,,3515 GB,0302758275,,
Van der Knaap,vanderknaap.nl,geraden en bevestigd,"Medewerker marketing, communicatie en events",2026-09-14,Kwintsheul,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketing-communicatie-en-events-at-van-der-knaap-4467073432,webcare medewerker,ok,,,,,,,,0,,,6903 HH,0316 - 52 31 31,,
Van der Wal,vanderwal.nl,geraden en bevestigd,Customer Service Specialist,2026-09-11,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-van-der-wal-4464869166,customer service,ok,,,,,,,,0,,50020919,5301 AS,0418-513392,,ja
Van Dorp,vandorp.nl,geraden en bevestigd,Helpdeskmedewerker ICT | Nieuwegein,2026-07-10,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-ict-nieuwegein-at-van-dorp-4435990557,support medewerker webshop,ok,woocommerce,,,,,ja,,0,,,2382 NW,,,ja
Van Gooi,vangooi.com,geraden en bevestigd,Front-end Developer (Energy Systems),2026-08-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-energy-systems-at-van-gooi-4452846493,webcare medewerker,ok,,,,,,,,0,,,1216 SE,+31 (0)35 303 1900,,
Van Happen Containers,vanhappencontainers.nl,geraden en bevestigd,Orderinvoer,2026-08-25,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/orderinvoer-at-van-happen-containers-4458717105,orderverwerking medewerker,ok,,,,,,,ja,0,,,5651 GN,0499 470 500,,
Van Herk Kaas,vanherkkaas.nl,geraden en bevestigd,"Vacature: Backoffice medewerker – klantcontact, inkoop &amp; verkoop (Fulltime)",2026-08-26,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/vacature-backoffice-medewerker-%E2%80%93-klantcontact-inkoop-verkoop-fulltime-at-van-herk-kaas-4459316365,orderverwerking medewerker,ok,,,,,,,,0,,,,,,ja
Van Leeuwen Stainless,vanleeuwen.com,geraden en bevestigd,Inside Sales Medewerker,2026-06-12,Beesd,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-at-van-leeuwen-stainless-4425967935,orderverwerking medewerker,ok,,,13,,,,,0,,,3336 LE,,,
Van Mossel Automotive Group,vanmossel.nl,geraden en bevestigd,Medewerker Klantenservice,2026-08-11,Tilburg,6,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-van-mossel-automotive-group-4455292954,klantenservice medewerker,ok,,,3,hubspot,trustpilot,,,0,,,,+31416820700,,ja
Van Nieuwpoort Groep,vannieuwpoort.com,geraden en bevestigd,Medewerker marketingcommunicatie,2026-09-04,Gouda,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketingcommunicatie-at-van-nieuwpoort-groep-4461171249,webcare medewerker,ok,,,,,,,,0,,,,,,
Vandebron,vandebron.nl,geraden en bevestigd,Customer Service Medewerker,2026-05-28,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-vandebron-4431658020,klantenservice medewerker,ok,,,,whatsapp|chatgpt-bot,klantenvertellen,,,0,,59394218,1013KS,0880 444 555,5338,ja
Vandersterre,vandersterre.com,geraden en bevestigd,Verkoopondersteuning,2026-09-21,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/verkoopondersteuning-at-vandersterre-4469874021,orderverwerking medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
VAST.,vast.nl,geraden en bevestigd,E‑commerce Specialist,2026-07-14,'s-Heerenberg,1,nee,https://nl.linkedin.com/jobs/view/e%E2%80%91commerce-specialist-at-vast-4440568385,webcare medewerker,ok,,,,,,,,0,,,,,,
VDL Agrotech,vdlagrotech.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-07,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vdl-agrotech-4464370174,orderverwerking medewerker,ok,,,5,,,,,0,,,5652 AW,+31 (0)40 292 55 0,,
Vecht en IJssel,vechtenijssel.nl,geraden en bevestigd,Open sollicitatie,2025-03-26,IJsselstein,1,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-at-vecht-en-ijssel-4190977851,webcare medewerker,ok,,,1,,,,,0,,,3526 XB,030 3033 500,,
Veldsink Advies,veldsink.nl,geraden en bevestigd,Adviseur Binnendienst Particulier,2026-09-10,Valkenswaard,7,nee,https://nl.linkedin.com/jobs/view/adviseur-binnendienst-particulier-at-veldsink-advies-4465631007,klantadviseur,ok,,,,hubspot,,,,0,,,5674 CC,,,
VELUX,velux.nl,geraden en bevestigd,Customer Service Advisor – VELUX Belgium,2026-09-17,De Meern,3,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-%E2%80%93-velux-belgium-at-velux-4468604708,klantenservice medewerker,ok,,,32,hubspot,,,,0,,46911415,,,,ja
Verano®,verano.nl,geraden en bevestigd,Commercieel medewerker binnendienst export,2026-06-27,Best,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-export-at-verano-b-v-4434223397,orderverwerking medewerker,ok,,,7,,,,,0,,17119924,5683 CP,,,
Verathon,verathon.com,geraden en bevestigd,Customer Service Specialist,2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-verathon-4460070748,klantenservice medewerker,ok,,,1,hubspot,,,,0,,,,,,ja
Verisure,verisure.nl,geraden en bevestigd,Klantenservice medewerker Inbound,2026-09-17,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-inbound-at-verisure-4466254242,klantenservice medewerker,ok,,,25,,trustpilot,,,0,onze dienstver,17158925,1101AA,0880888989,,ja
Vermaat,linkedin.com,geraden en bevestigd,Horecamedewerker Antoni van Leeuwenhoek,2026-08-26,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/horecamedewerker-antoni-van-leeuwenhoek-at-vermaat-4461442279,webcare medewerker,ok,,,,zendesk,,,,0,api[- ]documen,,,,,
VERO MODA,veromoda.com,geraden en bevestigd,Verkoopmedewerker VERO MODA Zwolle,2026-06-17,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-vero-moda-zwolle-at-vero-moda-4429939849,support medewerker webshop,ok,,,43,zendesk,trustpilot,ja,,4,,,1013 AC,,,
versAlert B.V.,versalert.nl,geraden en bevestigd,Klantsupport medewerker,2026-09-10,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/klantsupport-medewerker-at-versalert-b-v-4463455293,klantenservice medewerker,ok,,,,,,,ja,0,,,3454 PT,030 - 7517600,,ja
Verzuimdata,verzuimdata.nl,geraden en bevestigd,Medewerker Service &amp; Support,2026-09-14,Ridderkerk,1,nee,https://nl.linkedin.com/jobs/view/medewerker-service-support-at-verzuimdata-b-v-4440557380,webcare medewerker,ok,,,,,,,,0,,,,,,ja
Veynex Embedded Software,veynex.com,geraden en bevestigd,ICT Support Medewerker,2026-07-03,Maastricht,3,nee,https://nl.linkedin.com/jobs/view/ict-support-medewerker-at-veynex-embedded-software-4446509258,webcare medewerker,ok,,,4,,,,,0,api[- ]documen,57145393,6163 CX,+31452053333,,ja
Viamanta,viamanta.com,geraden en bevestigd,Partner Success Specialist (m/f/x),2026-06-02,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/partner-success-specialist-m-f-x-at-viamanta-4423923357,customer happiness,ok,,,3,hubspot,,,,0,demo aanvragen|api[- ]documen,94922896,1101 BH,,,
ViewSonic,viewsonic.com,geraden en bevestigd,Customer Success Coordinator German,2026-09-04,Weesp,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-german-at-viewsonic-4461974451,customer happiness,ok,magento,,3,freshdesk,yotpo,ja,,0,,,,,,ja
Viking Europe,viking-europe.com,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-europe-4468262157,webcare medewerker,ok,magento,,,,,ja,,0,,,,+48338281830,,
Viking Nederland,viking.nl,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-nederland-4468261625,webcare medewerker,ok,,,2,,,,,0,,,1327 CJ,,,
VIKTOR,viktor.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-viktor-4467494832,customer happiness,ok,,,,hubspot|chatgpt-bot,,,,0,demo aanvragen|api[- ]documen,,,,,ja
VILA,vila.nl,geraden en bevestigd,Verkoopmedewerker fulltime VILA Rotterdam Alexandrium (New Store),2026-08-13,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-fulltime-vila-rotterdam-alexandrium-new-store-at-vila-4453674488,support medewerker webshop,ok,,,,,,,,1,,,4817 ZD,0765712800,,
Vintage.com,vintage.com,geraden en bevestigd,French Customer Experience Agent,2026-09-15,Duiven,7,nee,https://nl.linkedin.com/jobs/view/french-customer-experience-agent-at-vintage-com-4464134036,klantenservice medewerker,ok,,,7,hubspot,trustpilot,,,2,onze dienstver,,6921 PW,+318000200076,670,ja
Vinted,vinted.nl,geraden en bevestigd,"Partner Success Coordinator (Dutch Speaking), VintedGo Member Support",2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/partner-success-coordinator-dutch-speaking-vintedgo-member-support-at-vinted-4461082335,support medewerker webshop,ok,,,,,,,,0,,,,,,ja
VINVIN Wines,vinvinwines.nl,geraden en bevestigd,Commercieel medewerker binnendienst,2026-09-17,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vinvin-wines-4468693688,orderverwerking medewerker,ok,,,,whatsapp,,ja,,3,,78220300,3047 BB,+31102183800,,
Vion Food Group,vionfoodgroup.com,geraden en bevestigd,Medewerker Backoffice Verkoop,2026-09-22,Enschede,1,nee,https://nl.linkedin.com/jobs/view/medewerker-backoffice-verkoop-at-vion-food-group-4463509690,orderverwerking medewerker,ok,,,7,,,,,0,,,5281 RM,+31 88 995 3555,,
VIPS PMS,vipspms.com,geraden en bevestigd,Customer Success &amp; Accountmanager VIPS PMS,2026-08-27,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/customer-success-accountmanager-vips-pms-at-vips-pms-4458962293,customer happiness,ok,,,2,,,,,0,,,3436 ZZ,+31881304400,,ja
Virtual Assistant Team,virtualassistantteam.com.au,geraden en bevestigd,Digital Marketer with Click Funnels,2025-04-03,Est,1,nee,https://nl.linkedin.com/jobs/view/digital-marketer-with-click-funnels-at-virtual-assistant-team-4197787540,webcare medewerker,ok,,,,intercom|hubspot,,,,0,,,,,,
